Qno.,word,FClass,CClass
1303,technique called `` cold fusion '' produce,techmeth,ENTY
1304,costume designer decided Michael Jackson wear one glove,ind,HUM
1305,"meter Shakespeare use writing : `` , , question.. . ''",other,ENTY
1306,many rows sprocket holes roll 35-millimeter film,count,NUM
1307,goat population world,count,NUM
1308,company original sponsor TV Superman,gr,HUM
1309,term Czech use describe Pole,termeq,ENTY
1310,sea separates Naples Algiers,other,LOC
1311,many lawyers state New Jersey,count,NUM
1312,common elements seawater,substance,ENTY
1313,Describe Finnish music personality Salonen appearance .,desc,DESC
1314,origin ethnic category `` caucasian '',desc,DESC
1315,stratocaster,def,DESC
1316,kind science cosmology,other,ENTY
1317,Name blind sculptress love Fantastic Four Thing .,ind,HUM
1318,second-lightest element,substance,ENTY
1319,call `` twirl '' ballet,termeq,ENTY
1320,brand name daminozide,product,ENTY
1321,former name Zimbabwe,termeq,ENTY
1322,National Basketball Association superstar told story Giant Steps,ind,HUM
1323,animals Amazing Three masquerade,animal,ENTY
1324,bikini bathing suite get name,manner,DESC
1325,Fraze get first patent pull-tab can,date,NUM
1326,many games played five-team round-robin tournament,count,NUM
1327,developed first polio vaccine,ind,HUM
1328,made first gas engine,ind,HUM
1329,"country claimed Rubens , Van Dyck Bruegel citizens",country,LOC
1330,civil war fought 1936 1939,event,ENTY
1331,many questions database,count,NUM
1332,clouds form,manner,DESC
1333,can find examples legal cases Individuals Disabilities Education Act,other,LOC
1334,character Tex Avery first create upon arriving MGM,ind,HUM
1335,Triangle Shirtwaist fire,date,NUM
1336,Asian spiritual political leader married age 13,ind,HUM
1337,Ocho Rios,other,LOC
1338,half-life P-32,def,DESC
1339,ocean Mauritania border,other,LOC
1340,pressure cookers save time kitchen,reason,DESC
1341,12 people jury criminal cases,reason,DESC
1342,Christian Scientists believe,desc,DESC
1343,"World War battle saw 6 , 0 troops killed one day",event,ENTY
1344,country Kosovo part,country,LOC
1345,Tell city Kentucky Horse Park near,city,LOC
1346,computer operating system computers,product,ENTY
1347,Bill Gross email address,other,LOC
1348,economic impact unemployment economy,desc,DESC
1349,"letters D.C. stand Washington , D.C.",exp,ABBR
1350,animals can live longest without food,animal,ENTY
1351,English queen seventeen children,ind,HUM
1352,"approximate population Las Vegas , N.M",other,NUM
1353,much President get paid,money,NUM
1354,two baseball players make battery,ind,HUM
1355,largest letter Salvador Dali signature,letter,ENTY
1356,irate car owner call iron oxide,termeq,ENTY
1357,"children ages two eleven , percentage watch `` Simpsons ''",perc,NUM
1358,northernmost U.S. state apart Alaska,state,LOC
1359,Name art gallery New York .,other,LOC
1360,sells Viagra,ind,HUM
1361,musical instrument Prewitt play James Jones Eternity,instru,ENTY
1362,Home Rule Act,def,DESC
1363,building British monarchs crowned,other,LOC
1364,Bellworts,def,DESC
1365,Darius,desc,HUM
1366,movie told Anna Anderson claim Russian czar daughter,cremat,ENTY
1367,Dita Beard work,ind,HUM
1368,kind creature coot,animal,ENTY
1369,Name university Woodrow Wilson president .,gr,HUM
1370,"country first use airplane weapon war , Turks Libya",country,LOC
1371,university Woodrow Wilson President,gr,HUM
1372,fear disease,dismed,ENTY
1373,kind meat Fray Bentos synonymous,food,ENTY
1374,Mr. Magoo flog TV General Electric,other,ENTY
1375,words Canadian National anthem,desc,DESC
1376,name Jewish alphabet,termeq,ENTY
1377,served inspiration schoolteacher portrayed Robin Williams `` Dead Poets Society '',ind,HUM
1378,Columbia Tristar phone number,code,NUM
1379,Name five positions line succession presidency .,title,HUM
1380,one original seven Mercury program astronauts fly Mercury flights,ind,HUM
1381,best known villain 165 Gunpowder Plot,ind,HUM
1382,capital Burkina Faso,city,LOC
1383,continent Bolivia,other,LOC
1384,Muhammad Ali stripped title barred boxing 1967,reason,DESC
1385,"killed people , Hitler Stalin",ind,HUM
1386,caused Shea & Gould close L.A. office,reason,DESC
1387,mammal can 't jump,animal,ENTY
1388,U.S. state blondes,state,LOC
1389,war saw battles Parrot Beak Black Virgin,event,ENTY
1390,U.S. highway death toll 1969,count,NUM
1391,name Kelly mean,def,DESC
1392,phalanx,def,DESC
1393,mustachioed comedian portrayed Frankie North Alaska,ind,HUM
1394,utilities cost Monopoly,money,NUM
1395,"actor World War II airman $5 , 0 bounty put head Hermann Goering",ind,HUM
1396,e.g. stand,exp,ABBR
1397,name medical condition baby born without brain,dismed,ENTY
1398,storms form,manner,DESC
1399,Nicolo Paganini,desc,HUM
1400,city often called Insurance Capital World,city,LOC
1401,three animals Sheila Burnford Incredible Journey,animal,ENTY
1402,portrayed Dracula Hammer Studios ' films,ind,HUM
1403,Name one Seven Wonders Ancient World .,other,ENTY
1404,fish first believed found earth,date,NUM
1405,"President favorite Biblical quotation : `` Come now , let us reason together '' .",ind,HUM
1406,many elevators ride reach top floor Empire State Building,count,NUM
1407,Name food company traveled Soviet Georgia film series ads .,gr,HUM
1408,country Sir Edmund Hillary born,country,LOC
1409,infant seal called,animal,ENTY
1410,"proper Laugh-In respones : `` Say goodnight , Dick ''",desc,DESC
1411,city John F. Kennedy nominated president,city,LOC
1412,long dog sleep,period,NUM
1413,1963 Joseph L. Mankiewicz film cost $28 million,cremat,ENTY
1414,Japanese electronics company named coastal city northeast Tokyo,gr,HUM
1415,can fined dog beach,money,NUM
1416,Battle Bulge take place,other,LOC
1417,much will California year 2000,count,NUM
1418,"mystery writer penned `` ...the glory Greece , grandeur Rome ''",ind,HUM
1419,state full milk honey destination Grapes Wrath,state,LOC
1420,tallest building Japan,other,LOC
1421,Sinn Fein headquarters,other,LOC
1422,Name Li 'l Abner favorite Indian drink .,food,ENTY
1423,important events 1830,event,ENTY
1424,Iraqis launched attack Kuwait day,date,NUM
1425,letter adorns flag Rwanda,letter,ENTY
1426,"8 , CD NNS VBP VB NNP POS NN .",other,ENTY
1427,God,def,DESC
1428,country northernmost city Darwin,country,LOC
1429,"sound Olympia , Washington , overlook",other,LOC
1430,TV show chronicled lives Katy Holstrum Congressman Glen Morley,cremat,ENTY
1431,Kentucky city calls Horse Center America,city,LOC
1432,many penny-farthings Trivial Pursuit game board,count,NUM
1433,abundant element sun,substance,ENTY
1434,"European country boasts city Furth , found rivers Rednitz Pegnitz converge",country,LOC
1435,U.S. state Dixville Notch,state,LOC
1436,"Cisalpine Republic , 1797-185 ,",other,LOC
1437,largest shopping mall world,other,LOC
1438,protagonist name Dostoevski `` Idiot '',ind,HUM
1439,penalty space lies Baltic Avenue Reading Railroad Monopoly board,other,ENTY
1440,presidential press secretary dismissed Watergate third-rate burglary attempt,ind,HUM
1441,meerkat,def,DESC
1442,Jean Nicolet,desc,HUM
1443,kind animal Winnie Pooh,animal,ENTY
1444,authors,ind,HUM
1445,international radio code word letter B,word,ENTY
1446,original Humpty Dumpty,ind,HUM
1447,cache memory,def,DESC
1448,Aspartame also known,termeq,ENTY
1449,location Orange Bowl,other,LOC
1450,President Nixon birthday,date,NUM
1451,"origin midwest slang , ` 're darn tootin '",desc,DESC
1452,Whose cupboard bare,ind,HUM
1453,seven seas,other,LOC
1454,IBM stand,exp,ABBR
1455,difference jazz blues,desc,DESC
1456,C programming language,def,DESC
1457,name Popeye adopted son,ind,HUM
1458,invented vacuum cleaner,ind,HUM
1459,` borrow pit ',def,DESC
1460,2th-century fictional character attends Pencey Prep School,ind,HUM
1461,many people USA say number one source information newspaper,count,NUM
1462,"Shakespeare Antonio borrow 3 , 0 ducats",ind,HUM
1463,country known `` Big Bear '',country,LOC
1464,"`` melts mouth , hands '' .",food,ENTY
1465,many times day take prescription marked `` q.i.d . '',count,NUM
1466,origin atom,desc,DESC
1467,Voyager project manager,ind,HUM
1468,radio stations air Jim Bohannon Radio Talk Show,gr,HUM
1469,two commanders directed forces Battle El Alamein,ind,HUM
1470,Name creator `` Muppets '' .,ind,HUM
1471,e-mail someone aol.com yahoo.com,manner,DESC
1472,replies `` know '' Princess Leia confession `` love '' Empire Strikes Back,ind,HUM
1473,meaning name Ella,def,DESC
1474,home Rockettes,other,LOC
1475,"can find information need know English Civil War , 1642-1649 ,",other,LOC
1476,name firm makes Spumante,gr,HUM
1477,sport played largest field,sport,ENTY
1478,won 1967 Academy Award Best Actor,ind,HUM
1479,death,other,ENTY
1480,Name first private citizen fly space .,ind,HUM
1481,football star Elroy Hirsch nickname,ind,HUM
1482,singer sings `` Oh Boy '',ind,HUM
1483,much pizza Americans eat day,count,NUM
1484,website USA journal,other,LOC
1485,army motto Blood Fire,gr,HUM
1486,kind patent Ermal Fraze get 1963,other,ENTY
1487,hearing put seashell ear,desc,DESC
1488,haunted houses popular,reason,DESC
1489,gender bigger thighs,other,ENTY
1490,U.S. state second-longest coastline,state,LOC
1491,state home Buffalo Bill Historical Center,state,LOC
1492,fast cheetahs run,speed,NUM
1493,Ray Bradbury illustrated man illustrated,other,ENTY
1494,fast 45Mhz processor,speed,NUM
1495,"kind puzzle first appeared U.S. New York World December 21 , 1913",other,ENTY
1496,count Alexandre Dumas write,ind,HUM
1497,odds giving birth twins,perc,NUM
1498,largest natural lake Pennsylvania,other,LOC
1499,far London UK California,dist,NUM
1500,Name two mystical ravens Odin command .,animal,ENTY
1501,species Winnie Pooh,animal,ENTY
1502,virus HIV,def,DESC
1503,many years old Benny Carter,count,NUM
1504,Hermann Hesse book gave name rock group,cremat,ENTY
1505,Santa Fe Trail begin end,other,LOC
1506,book follow-up Future Shock,cremat,ENTY
1507,African animals known Big Five,animal,ENTY
1508,alphabet Latin,letter,ENTY
1509,fear frogs,dismed,ENTY
1510,city Canada least-populated,city,LOC
1511,old Stevie Wonder,period,NUM
1512,first Taiwanese President,ind,HUM
1513,Luke Skywalker father,ind,HUM
1514,dipsomaniac crave,other,ENTY
1515,definition term `` weapons system '',def,DESC
1516,Christopher Marlowe Shakespeare literary contributions English literature,desc,DESC
1517,Nero Wolfe favorite drink office hours,food,ENTY
1518,first personal computer company,gr,HUM
1519,efficient way start barbeque,techmeth,ENTY
1520,Jane Goodall,desc,HUM
1521,Braille things ATM machines people drive,reason,DESC
1522,Isle Man,other,LOC
1523,book Aaron Hass write,cremat,ENTY
1524,death toll eruption Mount Pinatubo,other,NUM
1525,will millennium officially begin,date,NUM
1526,"created comic strip , `` Garfield ''",ind,HUM
1527,Vietnamese terrorist now UN delegate Doonesbury,ind,HUM
1528,real time processing,def,DESC
1529,call imaginary line along top Rocky Mountains,other,LOC
1530,country capital Lagos,country,LOC
1531,Ray Bradbury Chronicles take place,other,LOC
1532,current prime minister president Russia,ind,HUM
1533,established Viking colony Greenland 985,ind,HUM
1534,distinguishing mark `` Little Rascals '' dog,symbol,ENTY
1535,"latitude longitude El Paso , Texas",other,NUM
1536,can get information cystic fibrosis,other,LOC
1537,Honecker rule,other,LOC
1538,theory equivalence states,def,DESC
1539,philatelist collect,other,ENTY
1540,life span average monkey,period,NUM
1541,many member states UN,count,NUM
1542,shot killed painting Wheatfield Crows,ind,HUM
1543,will happen sodium put water,desc,DESC
1544,meaning UOL,def,DESC
1545,future President became Senate majority whip Harry Truman,ind,HUM
1546,architect Central Park,ind,HUM
1547,operating system runs IBM-compatible machines,product,ENTY
1548,dimensions ice hockey goal,dist,NUM
1549,CNN first broadcast,date,NUM
1550,signs country going recession,symbol,ENTY
1551,circumorbital hematoma,def,DESC
1552,African country governed Ouagadougou,country,LOC
1553,Christian name title character Miss Brooks,ind,HUM
1554,hard-of hearing artist painted Sunflowers,ind,HUM
1555,Yankee frequent enemies,gr,HUM
1556,wrote Sons Lovers,ind,HUM
1557,English translation word `` caliente '',termeq,ENTY
1558,handicraft requires interlace warp weft,techmeth,ENTY
1559,French seaport claims Home Wines,city,LOC
1560,long take sunlight reach Earth,period,NUM
1561,many milliseconds second,count,NUM
1562,Cherokee Indian gave name tree,ind,HUM
1563,camcorders introduced Malaysia,date,NUM
1564,chance conceiving quadruplets,perc,NUM
1565,star Leave Beaver,ind,HUM
1566,countries largest armed forces world,country,LOC
1567,William F. Cody better-known name,ind,HUM
1568,increase biceps ' size,manner,DESC
1569,Richard Nixon tender resignation,ind,HUM
1570,Thucydides,desc,HUM
1571,element strontium purified,manner,DESC
1572,following rock 'n roll stars `` star '' Hollywood Boulevard,ind,HUM
1573,tonsils,reason,DESC
1574,"molecules include fluorine , sodium magnesium",substance,ENTY
1575,name ball game played mayans,sport,ENTY
1576,sequel Moon Balloon,cremat,ENTY
1577,exchange rate Australian American money,money,NUM
1578,origin word ` posh ',desc,DESC
1579,can anyone tell female sexual intercourse,manner,DESC
1580,many states Richard Nixon carry 1972,count,NUM
1581,basketball maneuver Bert Loomis invent,techmeth,ENTY
1582,good book read people hate read,cremat,ENTY
1583,many shillings 2 guinea,count,NUM
1584,tarantula eat,food,ENTY
1585,three secondary colors,color,ENTY
1586,name `` Sabrina '' mean,def,DESC
1587,took conductor Boston Pops Arthur Fiedler long reign,ind,HUM
1588,trials called followed World War II,event,ENTY
1589,hebephrenia,def,DESC
1590,Nazi leader killed jail just executed war criminal,ind,HUM
1591,famous events happened March 27,event,ENTY
1592,company claimed `` world biggest toy store '',gr,HUM
1593,brand number graces black label bottle Jack Daniel,other,NUM
1594,call sons daughters first cousins,termeq,ENTY
1595,causes Civil War,reason,DESC
1596,Maid-Rites,def,DESC
1597,city terrorized Dracula Night Stalker,city,LOC
1598,can prevent,manner,DESC
1599,names Andrew Christina mean,def,DESC
1600,chocolate bar created Frank Mars wife often called Milky Way peanuts,food,ENTY
1601,fastest guitarist,ind,HUM
1602,camels store humps,other,ENTY
1603,name second space shuttle,veh,ENTY
1604,best hospital orthopedics country,other,LOC
1605,perfect tenses,def,DESC
1606,commonly considered fifth sense,def,DESC
1607,another name East Germany,termeq,ENTY
1608,second-biggest-selling magazine America,cremat,ENTY
1609,betrayed Norway Nazis,ind,HUM
1610,took toys donated Doodyville Orphans ' Fund kept,ind,HUM
1611,bourdon tube,def,DESC
1612,kind sports team Wisconsin Badgers,sport,ENTY
1613,Picts,ind,HUM
1614,"Caroll Baker , Tammy Grimes , Debbie Reynolds , Judy Garland common",desc,DESC
1615,film noir,def,DESC
1616,stationed Camp Swampy comic strips,ind,HUM
1617,year China Republic Korea establish diplomatic relations,date,NUM
1618,causes tuberculosis,reason,DESC
1619,tall giraffe,dist,NUM
1620,actor dressed Santa Claus once-a-year affair actress Shelley Winters every Christmas many years,ind,HUM
1621,animal heat-seeking missile called Sidewinder named,animal,ENTY
1622,long take Stanley find Livingstone,period,NUM
1623,much nation children ages two eleven watch ` Simpsons ',count,NUM
1624,lake Sheboygan,other,LOC
1625,baseball team firemen,def,DESC
1626,fear color,dismed,ENTY
1627,Nantucket shipwreck killed divers exploring 52 people sank,veh,ENTY
1628,two largest birds earth,animal,ENTY
1629,Name four stories contained Edith Wharton `` Old New York . '',cremat,ENTY
1630,largest lake North America,other,LOC
1631,many people died smoking problem 1997,count,NUM
1632,chronic constipation symptom,dismed,ENTY
1633,wrote Look Love viewing Ursula Andress,ind,HUM
1634,name American swimmer won seven gold medals 1972 Olympics,ind,HUM
1635,claims greatest show earth,ind,HUM
1636,Head Start,def,DESC
1637,Honeymooners actress Television magazine name 1953 promising star,ind,HUM
1638,can 't women serve Navy board submarines,reason,DESC
1639,Yalta Conference lead,other,ENTY
1640,dog dubbed Mortgage Lifter,animal,ENTY
1641,saltpeter,def,DESC
1642,difference J.D. LL.M.,desc,DESC
1643,kind organization ` Last Chance Animals ',gr,HUM
1644,role Medieval Guild,ind,HUM
1645,Silly putty invented,ind,HUM
1646,oven set baking Peachy Oat Muffins,other,ENTY
1647,can someone become federal agent,manner,DESC
1648,invented paper clip,ind,HUM
1649,Lauren Bacall marry husband Humphrey Bogart died,ind,HUM
1650,many times 16-year National Basketball Associaton career John Havlicek member all-star team,count,NUM
1651,city state gay men live,city,LOC
1652,Shea Gould office Los Angeles long closing,period,NUM
1653,"word occurs 46 , 227 times Bible",word,ENTY
1654,can happy,manner,DESC
1655,someone go becoming organ donor,manner,DESC
1656,"year Degas create bronze sculpture , `` Fourth Position Front ''",date,NUM
1657,composer awarded Medal Honor Franklin D. Roosevelt,ind,HUM
1658,many URL extensions,count,NUM
1659,long intercourse take find pregnant,period,NUM
1660,U.S.S.R. stand,exp,ABBR
1661,"created Fantastic Four , Hulk , Thor",ind,HUM
1662,fear gravity,dismed,ENTY
1663,composer `` Canon D Major '',ind,HUM
1664,n't Rocky Marciano pro boxing career,desc,DESC
1665,European American eels born,other,LOC
1666,author novel `` Far Madding Crowd '',ind,HUM
1667,definition ` graphic details ',def,DESC
1668,`` America recessed-filter cigarette '',product,ENTY
1669,kind dog Scooby Doo,animal,ENTY
1670,function appendix,reason,DESC
1671,department store heir responsible raising three-ton safe underwater wreckage Andrea Doria,ind,HUM
1672,sex twice likely contract leprosy,other,ENTY
1673,first town chartered Vermont,city,LOC
1674,state longest Great Lakes shoreline,state,LOC
1675,U.S. state ends G,state,LOC
1676,many varieties twins,count,NUM
1677,Cartesian Diver,def,DESC
1678,largest libraries US,other,LOC
1679,many people live Falklands,count,NUM
1680,Camp David named,ind,HUM
1681,document President Andrew Johnson want copy placed head upon burial,cremat,ENTY
1682,portrayed `` man without face '' movie name,ind,HUM
1683,happened dogtown 1899 make year remembered,desc,DESC
1684,wheel Blaise Pascal invent search perpetual motion,other,ENTY
1685,much money minimum wage 1991,money,NUM
1686,year first patent pull-tab opener cans obtained,date,NUM
1687,country boasts dams,country,LOC
1688,regular price,money,NUM
1689,Metropolis landmark first introduced Superman cartoons 1940,other,LOC
1690,can one find Mozambique,other,LOC
1691,recognize anorexia,manner,DESC
1692,Mary Tyler Moore Show regular came world Tadeus Wladyslaw Konopka,cremat,ENTY
1693,city US Declaration Independence located,city,LOC
1694,largest variety cactus,def,DESC
1695,won first World Series,ind,HUM
1696,Aaron Hass write,cremat,ENTY
1697,Samuel Pickering,desc,HUM
1698,business animated Sky Hawks,gr,HUM
1699,credited saying : `` never met man n't like '',ind,HUM
1700,"overalls named Dungri , suburb Bombay",other,ENTY
1701,rooftops give steam big rainstorm,reason,DESC
1702,nationality Jackson Pollock,country,LOC
1703,much earth surface permanently frozen,count,NUM
1704,connection New Krypton Daxam,other,ENTY
1705,Queen Victoria born,date,NUM
1706,many people executed Abraham Lincoln assassination,count,NUM
1707,must Las Vegas blackjack dealer reaches 16,desc,DESC
1708,worth seeing Reims,other,LOC
1709,type performer Ileana Cotrubas,other,ENTY
1710,Yemen reunified,date,NUM
1711,line candy products included Super Skrunch Peanut Butter Oompas,food,ENTY
1712,Anglican church split Vatican,reason,DESC
1713,organization Security Council,gr,HUM
1714,find price different organs donated,manner,DESC
1715,Mexican leader shot dead 1923,ind,HUM
1716,NECROSIS mean,exp,ABBR
1717,magnetar,def,DESC
1718,"feud ended marriage Kentucky March 21 , 1891",event,ENTY
1719,color stripe along side Coho salmon,color,ENTY
1720,federal minimum wage,money,NUM
1721,Mississippi nicknamed,termeq,ENTY
1722,unemployment statistics years 1965 1990,other,NUM
1723,Santa Lucia,other,LOC
1724,female painter produced primitives rural New England life,ind,HUM
1725,names two old men appear serial tv Muppets Show,ind,HUM
1726,war saw battles Parrot Beak Black Virgin,event,ENTY
1727,yell hail taxi Madrid,desc,DESC
1728,horsepower shuttle boosters,other,NUM
1729,year Apartheid start,date,NUM
1730,created Big Ben,ind,HUM
1731,city found city OZ,city,LOC
1732,ever happened popular Yale Lock Company,desc,DESC
1733,Name Marvel team loosely based DC Justice League America,gr,HUM
1734,16th-century Aztec athlete get putting rubber ball ring,other,ENTY
1735,"populous state covers 49 , 576 square miles",state,LOC
1736,college football team Knute Rockne build power,gr,HUM
1737,state 11 million gallon oil spill,state,LOC
1738,"Aldous Huxley write , `` Brave New World ''",date,NUM
1739,country ancient Romans refer Hibernia,country,LOC
1740,high-risk business venture Jimmy Greek bet lose,gr,HUM
1741,chefs call Master Spice,food,ENTY
1742,abbreviation General Motors,abb,ABBR
1743,Devo hat,def,DESC
1744,long longest hiccup attack,period,NUM
1745,kind weapons used Medieval warfare,other,ENTY
1746,many people live Tokyo,count,NUM
1747,fruit-topped actress known Brazilian Bombshell,ind,HUM
1748,birds descendents,animal,ENTY
1749,"Tutankhamun exhibit display U.S. , moving company transported",gr,HUM
1750,Kevin Costner movie involves Sioux Indians,cremat,ENTY
1751,played title role Favorite Martian,ind,HUM
1752,scientific calculator work,manner,DESC
1753,fear fur,dismed,ENTY
1754,invented game Scrabble,ind,HUM
1755,part attire `` pothooks '' cowboys Old West,other,ENTY
1756,humans first begin write history seriously,date,NUM
1757,go school,reason,DESC
1758,Toulmin logic,def,DESC
1759,corgi kind,other,ENTY
1760,city U.S. experienced growth recently,city,LOC
1761,dangling participle,def,DESC
1762,Tokyo street glitters famed department stores nightclubs,other,LOC
1763,average life expectancy Stone Age,period,NUM
1764,"Mighty Mouse conceived , original name",ind,HUM
1765,origin peace symbol,desc,DESC
1766,group starred movie Rock Around Clock,gr,HUM
1767,many U.S. presidents assassinated Queen Victoria reign,count,NUM
1768,first flush toilet invented,date,NUM
1769,Nathan Hamill role new Star Wars prequel,ind,HUM
1770,many disks player four-handed game Crokinole,count,NUM
1771,old sun,period,NUM
1772,percentage children ages two eleven watch ` Simpsons ',perc,NUM
1773,"can find list , fax email , addresses human resource departments Massachusetts",manner,DESC
1774,write Congressman,manner,DESC
1775,many years ago Led Zeppelin release last album,count,NUM
1776,term group geese,termeq,ENTY
1777,many people Randy Craft convicted killing,count,NUM
1778,name famous battle Texas Mexico,event,ENTY
1779,country woo Wu dialect,country,LOC
1780,call Poker hand five cards suit,termeq,ENTY
1781,New York Yankee known Iron Horse,ind,HUM
1782,considered First Lady American Stage,ind,HUM
1783,penned : `` Neither borrower lender '',ind,HUM
1784,moxie,def,DESC
1785,first Sam Spade novel,cremat,ENTY
1786,song Patti Page set people dancing 1950,cremat,ENTY
1787,headed Hitler infamous Gestapo,ind,HUM
1788,South American city features exclusive Copacabana Beach Ipanema,city,LOC
1789,German city Italians call Monaco Bavaria,city,LOC
1790,"island group contains Jersey , Guernsey , Sark Herm",other,LOC
1791,fear strong light,dismed,ENTY
1792,person called likes fire,ind,HUM
1793,"helium first discovered , hence name",other,LOC
1794,best way overcome fear,techmeth,ENTY
1795,Name South African diamond producer,gr,HUM
1796,made musical plea True School,ind,HUM
1797,French designer declared : `` jean destructor ! dictator ! destroying creativity. jean must stopped ! '',ind,HUM
1798,season setting Shakespeare Midsummer Night Dream,date,NUM
1799,Name band famous 1960 .,gr,HUM
1800,comedian banned Ed Sullivan Show allegedly making obscene gesture show host,ind,HUM
1801,country setting Edgar Allan Poe Pit Pendulum,country,LOC
1802,Apollo 11 astronaut minded store Armstrong Aldrin made history,ind,HUM
1803,current ticket fare Cairo Barbados,money,NUM
1804,second highest mountain peak world,mount,LOC
1805,Good Little Witch Casper girlfriend,ind,HUM
1806,Tennessee Williams play one characters killed devoured mob starving children,cremat,ENTY
1807,"nickname Frederick , Holy Roman Emperor King Germany",ind,HUM
1808,war Potsdam Conference follow,event,ENTY
1809,common non-contagious disease world,dismed,ENTY
1810,"month , date , year Charles die",date,NUM
1811,many cubic feet space gallon water occupy,count,NUM
1812,hair style called new military recruits receive,def,DESC
1813,world largest cathedral,other,LOC
1814,effects nitrates environment,desc,DESC
1815,Nitrox diving,def,DESC
1816,three European countries begin letter,country,LOC
1817,happened Long March,desc,DESC
1818,name Hitler unsuccessful attempt overthrow Bavarian government Munich 1923,event,ENTY
1819,can find online spelling,manner,DESC
1820,many earthworms single pasture,count,NUM
1821,made Stonehenge,ind,HUM
1822,average hourly rate American workers,other,NUM
1823,sport features snatches clean jerks,sport,ENTY
1824,founder editor National Review,ind,HUM
1825,year build Berlin Wall,date,NUM
1826,first governor West Virginia,ind,HUM
1827,world longest suspension bridge,other,LOC
1828,Asian city boasts world biggest bowling alley,city,LOC
1829,will Jean Aeul publish next book,date,NUM
1830,"famous soldier born Europe , died Asia , laid rest Africa",ind,HUM
1831,"time relax , one beer stands clear",food,ENTY
1832,culture developed idea potlatch,gr,HUM
1833,baseball team became Minnesota Twins,gr,HUM
1834,kind guitar Jimi Hendrix play,instru,ENTY
1835,first three cities population million,city,LOC
1836,constellation contains twins Castor Pollux,other,LOC
1837,many meters mile,count,NUM
1838,gas release event,def,DESC
1839,James Michener book subtitled Spanish Travels Reflections,cremat,ENTY
1840,famed London criminal court feudal castle,other,LOC
1841,many milligrams gram,count,NUM
1842,stringed weapon fires bolt,other,ENTY
1843,get title,other,LOC
1844,can find large list 5 6 letter words,other,LOC
1845,Michael Jackson middle name,ind,HUM
1846,first woman fly solo across Atlantic,ind,HUM
1847,long human gestation,period,NUM
1848,`` Semper Fidelis '' mean,def,DESC
1849,kind suit true hepcats wear 1942,product,ENTY
1850,Mother Angelica live,other,LOC
1851,can find Moon sign,manner,DESC
1852,candle need wick,reason,DESC
1853,Musician Ray Charles plays instrument,instru,ENTY
1854,three prophecies witches make Macbeth,desc,DESC
1855,population Mississippi,other,NUM
1856,started Dominos Pizza chain,ind,HUM
1857,film Steven Spielberg dog star main character dog,cremat,ENTY
1858,different kinds contraceptives,dismed,ENTY
1859,old Jeremy Piven,period,NUM
1860,history yo-yos,desc,DESC
1861,NBA players jersey number 0,ind,HUM
1862,chocolate company gives one-pound kiss,gr,HUM
1863,one correctly pronounce ` qigong ',manner,DESC
1864,fossilizes form coprolite,other,ENTY
1865,many colored squares Rubik Cube,count,NUM
1866,Mayo Clinic,other,LOC
1867,Caribbean island sometimes called Little England,other,LOC
1868,Amsterdam,other,LOC
1869,can find lyrics song ` Getting Married Today ' musical ` Company ',other,LOC
1870,another word means `` knows '',word,ENTY
1871,"famous movie star also acted sewer commissioner Provo Canyon , Utah",ind,HUM
1872,Australian city became home America Cup,city,LOC
1873,Aspartame known name,termeq,ENTY
1874,pasta,def,DESC
1875,Name Randy Craft lawyer .,ind,HUM
1876,color `` ash '',color,ENTY
1877,best distance education university college,gr,HUM
1878,river Grand Coulee Dam dam,other,LOC
1879,often quadruplets born,other,NUM
1880,psorisis disappear,manner,DESC
1881,many presidents died 4th July,count,NUM
1882,three colors French flag,color,ENTY
1883,mystery Bermuda Triangle,desc,DESC
1884,seven wonders world,other,ENTY
1885,CNN stand,exp,ABBR
1886,person called likes fire,ind,HUM
1887,portrayed Vincent Van Gogh Lust Life,ind,HUM
1888,constitutes adult,other,ENTY
1889,reliable site can download Heretic 2,other,LOC
1890,neurosurgeon,def,DESC
1891,"baseball outcome required nine balls 1879 , eight balls 1880 seven balls 1881",sport,ENTY
1892,amaretto biscuits,def,DESC
1893,common ailment can 't catch North Pole,dismed,ENTY
1894,season begins vernal equinox,date,NUM
1895,known Time Master comic books,ind,HUM
1896,name Roy Rogers dog,animal,ENTY
1897,TV series changed names protect innocent,cremat,ENTY
1898,cable cars first roll Clay Street 1873,other,LOC
1899,George Lucas e-mail address,other,LOC
1900,give good massage,manner,DESC
1901,father computer,ind,HUM
1902,origin `` jiggy '' getting jiggy,desc,DESC
1903,origin a.m. p.m.,desc,DESC
1904,definition cosmology,def,DESC
1905,name dog Cracker Jack box,animal,ENTY
1906,manifest latent function theories,def,DESC
1907,William Styron book black preacher leads slave revolt,cremat,ENTY
1908,chemical symbol nitrogen,symbol,ENTY
1909,said : `` Old soldiers never die ; just fade away '',ind,HUM
1910,National League baseball team employed 72 third baseemen first 2 seasons,gr,HUM
1911,snowballs hot-rodder,def,DESC
1912,long Tyrannosaurus Rex teeth,dist,NUM
1913,origin word Ozymandias,desc,DESC
1914,man won Olympic decathlon twice,ind,HUM
1915,Kenyan city safari center East Africa,city,LOC
1916,men snore,reason,DESC
1917,causes `` rolling thunder '',reason,DESC
1918,name Miss India 1994,ind,HUM
1919,four U.S. states active volcanoes,state,LOC
1920,setting John Le Carre Small Town Germany,desc,DESC
1921,echidna look like,desc,DESC
